2022-09-22 14:10:47.451 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2022-09-22 14:10:47.453 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "big021663749033951"'s failed in-progress jobs.
2022-09-22 14:10:55.064 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2022-09-22 14:10:55.065 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "big021663749033951"'s failed in-progress jobs.
2022-09-22 14:11:02.530 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2022-09-22 14:11:02.531 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "big021663749033951"'s failed in-progress jobs.
2022-09-22 14:11:10.058 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2022-09-22 14:11:10.058 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "big021663749033951"'s failed in-progress jobs.
2022-09-22 14:11:17.574 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2022-09-22 14:11:17.575 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "big021663749033951"'s failed in-progress jobs.
2022-09-22 14:11:25.086 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2022-09-22 14:11:25.087 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "big021663749033951"'s failed in-progress jobs.
2022-09-22 14:11:32.689 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2022-09-22 14:11:32.689 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "big021663749033951"'s failed in-progress jobs.
2022-09-22 14:11:40.111 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2022-09-22 14:11:40.111 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "big021663749033951"'s failed in-progress jobs.
2022-09-22 14:11:47.715 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2022-09-22 14:11:47.717 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "big021663749033951"'s failed in-progress jobs.
2022-09-22 14:11:55.181 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2022-09-22 14:11:55.182 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "big021663749033951"'s failed in-progress jobs.
2022-09-22 14:12:02.755 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2022-09-22 14:12:02.756 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "big021663749033951"'s failed in-progress jobs.
2022-09-22 14:12:10.241 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2022-09-22 14:12:10.241 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "big021663749033951"'s failed in-progress jobs.
2022-09-22 14:12:17.749 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2022-09-22 14:12:17.751 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "big021663749033951"'s failed in-progress jobs.
2022-09-22 14:12:22.265 [SpringContextShutdownHook] INFO  org.quartz.core.QuartzScheduler - Scheduler DBSwitch-Quartz-Scheduler_$_liujinhui1663826910376 paused.
2022-09-22 14:12:25.245 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2022-09-22 14:12:25.264 [SpringContextShutdownHook] INFO  o.s.scheduling.quartz.SchedulerFactoryBean - Shutting down Quartz Scheduler
2022-09-22 14:12:25.267 [SpringContextShutdownHook] INFO  org.quartz.core.QuartzScheduler - Scheduler DBSwitch-Quartz-Scheduler_$_liujinhui1663826910376 shutting down.
2022-09-22 14:12:25.268 [SpringContextShutdownHook] INFO  org.quartz.core.QuartzScheduler - Scheduler DBSwitch-Quartz-Scheduler_$_liujinhui1663826910376 paused.
2022-09-22 14:12:25.288 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: detected 1 failed or restarted instances.
2022-09-22 14:12:25.289 [QuartzScheduler_DBSwitch-Quartz-Scheduler-liujinhui1663826910376_ClusterManager] INFO  o.s.scheduling.quartz.LocalDataSourceJobStore - ClusterManager: Scanning for instance "big021663749033951"'s failed in-progress jobs.
2022-09-22 14:12:25.365 [SpringContextShutdownHook] INFO  org.quartz.core.QuartzScheduler - Scheduler DBSwitch-Quartz-Scheduler_$_liujinhui1663826910376 shutdown complete.
2022-09-22 14:12:25.370 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2022-09-22 14:12:25.392 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2022-09-22 14:35:21.243 [main] INFO  com.gitee.dbswitch.admin.AdminApplication - Starting AdminApplication on liujinhui with PID 9652 (D:\工作用\dbswitch-master\dbswitch-admin\target\classes started by liujinhui in D:\工作用\dbswitch-master)
2022-09-22 14:35:21.251 [main] INFO  com.gitee.dbswitch.admin.AdminApplication - No active profile set, falling back to default profiles: default
2022-09-22 14:35:24.270 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2022-09-22 14:35:24.383 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 97ms. Found 0 JDBC repository interfaces.
2022-09-22 14:35:24.635 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.gitee.dbswitch.admin]' package. Please check your configuration.
2022-09-22 14:35:25.777 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9088 (http)
2022-09-22 14:35:25.796 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9088"]
